# shift_num    shift (a,b,c) units=(direct,direct,Å)
  01               (  0.314815,   0.061728,   1.482413 )
  02               (  0.746914,   0.111111,   1.482413 )
  03               (  0.740741,   0.098765,   1.482413 )
  04               (  0.870370,   0.037037,   1.185930 )
  05               (  0.314815,   0.067901,   1.482413 )
  06               (  0.864198,   0.030864,   1.185930 )
  07               (  0.740741,   0.104938,   1.482413 )
  08               (  0.746914,   0.117284,   1.482413 )
