Si Bulk DFT energetics calculations using VASP
Running on host: comp022
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/228_Ge108Si120_001_001_a0.745562_b0.08284_c2.0_interface1shift2
Job started on: Wed 11 Jun 20:16:35 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 21:17:24    -1155.653561        5.191167
FIRE:    1 21:17:42    -1157.602224        2.561154
FIRE:    2 21:18:00    -1159.207934        1.432295
FIRE:    3 21:18:18    -1160.278913        1.315911
FIRE:    4 21:18:36    -1161.205499        1.158571
FIRE:    5 21:18:54    -1162.166653        1.313998
FIRE:    6 21:19:12    -1163.189073        1.286158
FIRE:    7 21:19:30    -1164.235775        1.129261
FIRE:    8 21:19:47    -1165.262022        0.934694
FIRE:    9 21:20:05    -1166.231882        0.889357
FIRE:   10 21:20:23    -1167.122966        0.814469
FIRE:   11 21:20:41    -1167.925407        0.717869
FIRE:   12 21:20:59    -1168.649046        0.723095
FIRE:   13 21:21:16    -1169.327228        0.759311
FIRE:   14 21:21:34    -1169.999144        0.790711
FIRE:   15 21:21:52    -1170.682398        0.807790
FIRE:   16 21:22:10    -1171.367808        0.795686
FIRE:   17 21:22:28    -1172.040392        0.764213
FIRE:   18 21:22:45    -1172.694502        0.737958
FIRE:   19 21:23:03    -1173.331718        0.744221
FIRE:   20 21:23:21    -1173.954205        0.758840
FIRE:   21 21:23:39    -1174.565507        0.766055
FIRE:   22 21:23:56    -1175.171035        0.797065
FIRE:   23 21:24:14    -1175.770956        0.855731
FIRE:   24 21:24:32    -1176.357234        0.890279
FIRE:   25 21:24:50    -1176.921749        0.867584
FIRE:   26 21:25:08    -1177.457203        0.747719
FIRE:   27 21:25:26    -1177.946871        0.642409
FIRE:   28 21:25:43    -1178.370627        0.619286
FIRE:   29 21:26:01    -1178.734831        0.585964
FIRE:   30 21:26:19    -1179.065126        0.604253
FIRE:   31 21:26:37    -1179.374631        0.679782
FIRE:   32 21:26:55    -1179.667195        0.752194
FIRE:   33 21:27:12    -1179.948366        0.797972
FIRE:   34 21:27:30    -1180.224097        0.773452
FIRE:   35 21:27:48    -1180.490740        0.634138
FIRE:   36 21:28:06    -1180.733165        0.407847
FIRE:   37 21:28:24    -1180.948830        0.360611
FIRE:   38 21:28:42    -1181.154066        0.331653
FIRE:   39 21:28:59    -1181.346782        0.318405
FIRE:   40 21:29:17    -1181.512734        0.366972
FIRE:   41 21:29:35    -1181.648374        0.444504
FIRE:   42 21:29:53    -1181.760741        0.549950
FIRE:   43 21:30:11    -1181.866194        0.658577
FIRE:   44 21:30:28    -1181.988646        0.704537
FIRE:   45 21:30:46    -1182.146714        0.663836
FIRE:   46 21:31:04    -1182.339826        0.644436
FIRE:   47 21:31:22    -1182.550468        0.630215
FIRE:   48 21:31:40    -1182.754382        0.529430
FIRE:   49 21:31:58    -1182.930257        0.379784
FIRE:   50 21:32:15    -1183.077135        0.312153
FIRE:   51 21:32:33    -1183.213392        0.314004
FIRE:   52 21:32:51    -1183.342538        0.379819
FIRE:   53 21:33:09    -1183.452815        0.406686
FIRE:   54 21:33:27    -1183.536172        0.390381
FIRE:   55 21:33:45    -1183.589244        0.619366
FIRE:   56 21:34:03    -1183.620809        0.887728
FIRE:   57 21:34:20    -1183.901961        0.213715
FIRE:   58 21:34:38    -1183.998862        0.288806
FIRE:   59 21:34:56    -1184.050389        0.390848
FIRE:   60 21:35:14    -1184.152691        0.407991
FIRE:   61 21:35:32    -1184.315701        0.448029
FIRE:   62 21:35:50    -1184.489391        0.440642
