Si Bulk DFT energetics calculations using VASP
Running on host: comp130
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/168_Ge96Sn72_111_111_a0.044025_b0.899371_c2.262296_interface11shift2
Job started on: Tue 10 Jun 08:50:52 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 09:51:11     -766.751679        0.538047
FIRE:    1 09:51:24     -766.843490        0.478945
FIRE:    2 09:51:36     -766.996654        0.376435
FIRE:    3 09:51:48     -767.166727        0.259229
FIRE:    4 09:52:01     -767.317354        0.215741
FIRE:    5 09:52:13     -767.434736        0.230867
FIRE:    6 09:52:25     -767.526685        0.249062
FIRE:    7 09:52:38     -767.606879        0.244514
FIRE:    8 09:52:50     -767.689101        0.212727
FIRE:    9 09:53:02     -767.768512        0.210593
FIRE:   10 09:53:14     -767.840319        0.229431
FIRE:   11 09:53:27     -767.914072        0.237412
FIRE:   12 09:53:39     -768.010392        0.234979
FIRE:   13 09:53:52     -768.131233        0.223167
FIRE:   14 09:54:04     -768.257606        0.203143
FIRE:   15 09:54:16     -768.377611        0.175460
FIRE:   16 09:54:29     -768.484821        0.139212
FIRE:   17 09:54:41     -768.571322        0.126500
FIRE:   18 09:54:54     -768.640261        0.127068
FIRE:   19 09:55:06     -768.704167        0.114144
FIRE:   20 09:55:19     -768.764877        0.105660
FIRE:   21 09:55:31     -768.817734        0.090390
FIRE:   22 09:55:43     -768.862982        0.089775
FIRE:   23 09:55:56     -768.898584        0.084549
FIRE:   24 09:56:08     -768.921118        0.076875
FIRE:   25 09:56:21     -768.929151        0.089225
FIRE:   26 09:56:33     -768.944066        0.072681
FIRE:   27 09:56:46     -768.959858        0.049519
FIRE:   28 09:56:58     -768.971205        0.044192
FIRE:   29 09:57:11     -768.977575        0.069760
FIRE:   30 09:57:23     -768.981099        0.070406
FIRE:   31 09:57:36     -768.982504        0.065613
FIRE:   32 09:57:48     -768.984733        0.056435
FIRE:   33 09:58:00     -768.987048        0.043638
FIRE:   34 09:58:13     -768.988889        0.028391
FIRE:   35 09:58:25     -768.990108        0.022136
FIRE:   36 09:58:38     -768.990749        0.017646
FIRE:   37 09:58:50     -768.990845        0.015166
FIRE:   38 09:59:03     -768.990887        0.014811
FIRE:   39 09:59:15     -768.990968        0.014110
FIRE:   40 09:59:28     -768.991082        0.013080
FIRE:   41 09:59:40     -768.991221        0.011747
FIRE:   42 09:59:52     -768.991376        0.010415
FIRE:   43 10:00:05     -768.991546        0.009600
MACE calculation complete. Energy written to MACE_OUTCAR: -768.991546 eV
Job ended on: Tue 10 Jun 09:00:06 UTC 2025
