interface,dft_energy,mlp_energy,n_Si,n_Ge,dft_form,dft_compute_time,mlp_form,mlp_compute_time
78_Si12Ge66_122_001_a0.263158_b0.803279_c1.2_interface50shift4,-325.47314097,-382.354181,12,66,0.2826520388461539,1617.0,-0.4574574487179483,699.0
44_Si22Ge22_001_001_a0.407407_b0.148148_c1.0_interface53shift3,-207.57033862,-230.860052,22,22,0.1324923040909092,738.0,-0.406819363636364,334.0
102_Si36Ge66_012_012_a0.443609_b0.294479_c1.6_interface27shift3,-425.00373096,-503.62677,36,66,0.5156496964705886,1712.0,-0.2655320588235294,2104.0
78_Si66Ge12_001_122_a0.098361_b0.0_c1.0_interface47shift2,-362.68454185,-426.452557,66,12,0.5948135660256406,2622.0,-0.23185970512820595,440.0
102_Si36Ge66_012_012_a0.0_b0.165644_c0.7_interface26shift1,-110.74582877,-511.645128,36,66,3.5966095218627454,2776.0,-0.3441434117647057,1053.0
114_Si66Ge48_001_011_a0.0_b0.08589_c2.0_interface5shift4,-550.07180686,-601.629126,66,48,0.11480871175438535,2791.0,-0.3472511052631581,1116.0
102_Si36Ge66_012_012_a0.105263_b0.294479_c1.6_interface27shift2,-424.97971928,-502.573964,36,66,0.5158851050980396,1776.0,-0.25521043137254873,1467.0
44_Si22Ge22_001_001_a0.333333_b0.333333_c1.4_interface55shift2,-209.01989059,-227.930697,22,22,0.09954794113636402,579.0,-0.34024311363636434,320.0
96_Si24Ge72_114_011_a0.039474_b0.693252_c1.4_interface32shift2,-424.53261749,-477.964628,24,72,0.1427852344791667,1905.0,-0.4244232083333337,726.0
48_Si24Ge24_011_011_a0.148148_b0.0_c2.4_interface51shift4swap4,-229.89817941,-248.833212,24,24,0.060454595624999406,734.0,-0.3440252500000002,235.0
44_Si22Ge22_001_001_a0.277778_b0.277778_c1.5_interface55shift1,-209.09318409,-227.879753,22,22,0.09788217977272753,506.0,-0.3390852954545458,406.0
44_Si22Ge22_001_001_a0.333333_b0.333333_c1.4_interface52shift5,-209.01990415,-227.930697,22,22,0.09954763295454554,518.0,-0.34024311363636434,272.0
102_Si36Ge66_012_012_a0.43609_b0.294479_c1.6_interface27shift5,-424.99852484,-503.623013,36,66,0.5157007368627452,1766.0,-0.26549522549019605,1934.0
72_Si36Ge36_012_012_a0.842105_b0.165644_c0.7_interface31shift1,-181.76790327,-367.632105,36,36,2.3254457879166672,1278.0,-0.26600145833333344,1126.0
96_Si24Ge72_114_011_a0.552632_b0.693252_c1.4_interface32shift4,-423.83752279,-479.086054,24,72,0.15002580427083365,1971.0,-0.43610472916666687,841.0
78_Si12Ge66_122_001_a0.263158_b0.803279_c1.1_interface50shift1,-317.69265328,-382.399874,12,66,0.38240188102564077,1546.0,-0.4580432564102564,721.0
48_Si24Ge24_011_011_a0.166667_b0.010638_c2.4_interface51shift3swap4,-230.01916583,-248.82717,24,24,0.05793404520833315,699.0,-0.34389937500000006,213.0
44_Si22Ge22_001_001_a0.425926_b0.166667_c0.8_interface53shift4,-206.454816,-230.640594,22,22,0.15784509090909118,637.0,-0.40183168181818213,335.0
48_Si24Ge24_011_011_a0.092593_b0.0_c2.3_interface51shift2swap2,-228.59566549,-248.715382,24,24,0.08759030229166657,757.0,-0.3415704583333336,287.0
144_Si72Ge72_011_011_a0.021277_b0.157895_c2.2_interface29shift5swap1,-688.60913609,-750.414305,72,72,0.0679921104861118,1670.0,-0.37121045138888875,675.0
48_Si24Ge24_011_011_a0.148148_b0.0_c2.4_interface51shift4swap2,-229.97638287,-248.766648,24,24,0.05882535687499946,725.0,-0.34263850000000023,219.0
48_Si24Ge24_011_011_a0.092593_b0.0_c2.3_interface51shift2swap3,-228.75290269,-248.647121,24,24,0.08431452729166604,723.0,-0.3401483541666668,253.0
48_Si24Ge24_011_011_a0.240741_b0.053191_c2.4_interface51shift5swap3,-230.35270889,-248.693194,24,24,0.050985231458332926,715.0,-0.3411082083333336,205.0
